benchmark_class,method,param_degree,param_size,score_ns_op,error_ns_op,cpu_atom/L1-dcache-loads/,cpu_atom/L1-dcache-stores/,cpu_atom/L1-icache-load-misses/,cpu_atom/LLC-load-misses/,cpu_atom/LLC-loads/,cpu_atom/LLC-store-misses/,cpu_atom/LLC-stores/,cpu_atom/branch-misses/,cpu_atom/branches/,cpu_atom/cycles/,cpu_atom/dTLB-load-misses/,cpu_atom/dTLB-loads/,cpu_atom/dTLB-store-misses/,cpu_atom/dTLB-stores/,cpu_atom/iTLB-load-misses/,cpu_atom/instructions/,cpu_core/L1-dcache-loads/,cpu_core/L1-dcache-stores/,cpu_core/L1-icache-load-misses/,cpu_core/LLC-load-misses/,cpu_core/LLC-loads/,cpu_core/LLC-store-misses/,cpu_core/LLC-stores/,cpu_core/branch-misses/,cpu_core/branches/,cpu_core/cycles/,cpu_core/dTLB-load-misses/,cpu_core/dTLB-loads/,cpu_core/dTLB-store-misses/,cpu_core/dTLB-stores/,cpu_core/iTLB-load-misses/,cpu_core/instructions/
InsertDeleteBenchmark,bPlusTreeInsertDelete,4,1000,236.812,1.296,65.866,36.805,13.098,0.001,1.041,0.304,1.287,2.016,43.868,397.452,0.614,58.657,0.024,41.215,0.928,238.482,1206.304,492.221,0.480,0.012,0.114,0.020,0.050,0.031,891.421,898.725,0.006,1217.048,0.002,495.241,0.007,4615.156
InsertDeleteBenchmark,bPlusTreeInsertDelete,4,50000,212.282,1.768,41.459,19.380,4.864,10⁻⁵,0.390,0.113,0.476,1.382,25.967,282.218,0.405,40.474,0.011,21.483,0.576,144.601,960.074,279.723,0.238,0.006,0.063,0.019,0.040,0.864,741.050,802.690,0.008,957.631,0.002,277.796,0.004,3573.928
InsertDeleteBenchmark,bPlusTreeInsertDelete,4,1000000,250.686,2.709,26.595,23.369,9.408,10⁻⁴,0.759,0,0.700,1.246,13.795,205.267,0.333,24.408,0.007,14.757,0.636,68.843,1121.404,288.294,0.351,0.013,0.078,0.010,0.037,0.599,879.698,948.025,0.003,1125.195,0.001,289.046,0.003,4334.805
InsertDeleteBenchmark,bPlusTreeInsertDelete,4,5000000,441.267,5.862,50.127,28.108,9.245,0.001,1.201,0.022,0.080,0.841,30.607,286.825,0.606,32.173,0.028,19.745,0.448,178.472,1992.806,705.537,0.516,0.011,0.143,0.035,0.094,0.831,1549.187,1670.402,0.012,1989.914,0.004,702.343,0.008,7575.568
InsertDeleteBenchmark,bPlusTreeInsertDelete,32,1000,52.300,1.026,11.111,4.420,1.988,10⁻⁴,0.158,0.018,0.021,0.328,10.726,49.167,0.040,12.059,0.002,4.763,0.086,61.334,239.605,46.191,0.057,0.002,0.012,0.001,0.003,0.003,221.695,197.764,0.001,240.699,10⁻⁴,46.396,10⁻³,1058.253
InsertDeleteBenchmark,bPlusTreeInsertDelete,32,50000,85.125,1.378,6.392,3.155,1.199,10⁻⁴,0.119,0,10⁻⁵,0.163,5.022,38.523,0.039,2.965,0.002,1.978,0.060,25.853,318.963,45.154,0.076,0.002,0.012,0.001,0.003,0.006,342.732,321.765,0.001,320.494,10⁻³,45.319,0.001,1529.014
InsertDeleteBenchmark,bPlusTreeInsertDelete,32,1000000,223.691,0.755,50.004,32.724,10.521,0.001,0.977,0.023,0.908,1.203,21.709,171.086,0.161,27.808,0.008,15.036,0.338,116.512,948.131,354.996,0.407,0.014,0.139,0.353,0.864,0.027,855.023,850.580,0.019,939.830,0.003,353.169,0.008,3951.267
InsertDeleteBenchmark,bPlusTreeInsertDelete,32,5000000,237.693,2.662,44.372,25.453,8.609,0.001,0.996,0.076,1.155,1.314,24.563,323.528,0.394,48.051,0.013,25.566,0.427,138.783,996.390,356.664,0.359,0.010,0.130,0.342,0.729,0.027,899.416,902.664,0.017,992.157,0.004,353.840,0.010,4143.475
InsertDeleteBenchmark,bPlusTreeInsertDelete,128,1000,51.442,1.012,15.131,5.018,1.641,10⁻⁴,0.143,0.021,0.062,0.153,8.007,42.813,0.042,3.693,0.001,2.697,0.082,41.683,215.646,38.183,0.056,0.002,0.012,0.001,0.003,0.003,221.558,194.344,0.001,216.177,10⁻⁴,38.231,0.001,1062.127
InsertDeleteBenchmark,bPlusTreeInsertDelete,128,50000,86.645,0.942,10.405,5.971,3.178,10⁻⁴,0.249,0.175,,0.532,6.837,45.303,0.060,7.639,0.002,3.664,0.102,38.855,313.096,48.293,0.066,0.002,0.011,0.001,0.003,0.005,339.754,327.660,0.001,312.689,0.001,48.182,0.001,1545.907
InsertDeleteBenchmark,bPlusTreeInsertDelete,128,1000000,101.842,0.560,NaN,NaN,6.397,0,0.694,0.025,0.211,0.045,1.198,41.621,0.146,11.400,0.003,5.787,0.109,31.716,352.304,48.237,0.087,0.002,0.013,0.002,0.004,0.007,399.045,385.360,0.001,353.680,0.001,48.277,0.001,1787.752
InsertDeleteBenchmark,bPlusTreeInsertDelete,128,5000000,116.566,0.646,74.809,25.794,2.890,0.001,0.473,10⁻⁵,0.102,0.649,40.581,106.659,0.163,62.278,0.004,21.022,0.100,217.042,505.568,83.241,0.132,0.025,0.047,0.006,0.013,0.163,505.941,555.180,0.008,507.868,0.001,83.790,0.001,2365.863
InsertDeleteBenchmark,bTreeInsertDelete,4,1000,72.172,0.287,18.688,9.787,3.562,10⁻⁴,0.327,0.028,0.362,0.350,10.542,39.993,0.113,14.043,0.003,6.893,0.100,43.393,341.225,95.801,0.108,0.004,0.035,0.010,0.022,0.008,292.473,273.631,0.004,339.660,0.001,95.390,0.002,1373.915
InsertDeleteBenchmark,bTreeInsertDelete,4,50000,129.433,1.464,24.093,12.956,4.922,10⁻⁴,0.363,0.035,0.475,0.640,4.487,24.996,0.167,20.751,0.006,9.987,0.054,27.710,485.505,99.545,0.166,0.006,0.046,0.005,0.023,0.768,484.892,489.728,0.002,487.153,0.001,99.641,0.002,2195.162
InsertDeleteBenchmark,bTreeInsertDelete,4,1000000,295.588,5.424,58.239,28.489,10.579,0.001,1.209,0.195,0.817,1.150,50.782,310.739,0.371,60.598,0.022,39.115,0.729,277.058,1425.978,494.796,0.418,0.014,0.115,0.024,0.123,0.980,1104.570,1120.182,0.008,1429.080,0.002,495.059,0.006,5559.063
InsertDeleteBenchmark,bTreeInsertDelete,4,5000000,300.891,2.323,29.587,14.868,6.276,10⁻⁴,0.788,0.077,0.323,0.548,18.331,131.151,0.172,15.348,0.007,12.001,0.253,100.928,1497.253,506.221,0.295,0.011,0.103,0.021,0.271,0.013,1172.360,1138.918,0.007,1493.084,0.002,504.869,0.004,5856.999
InsertDeleteBenchmark,bTreeInsertDelete,32,1000,53.041,0.267,12.384,7.351,2.827,10⁻⁵,0.209,0.031,0.136,0.421,7.786,88.876,0.131,7.762,0.004,5.403,0.233,42.162,262.866,69.518,0.080,0.003,0.023,0.006,0.010,0.004,228.407,201.697,0.002,261.088,10⁻³,69.368,0.001,1086.926
InsertDeleteBenchmark,bTreeInsertDelete,32,50000,82.186,0.611,11.840,7.320,3.676,10⁻⁴,0.330,0.035,0.631,0.384,10.275,90.540,0.047,4.045,0.006,7.853,0.249,56.290,330.681,59.259,0.104,0.003,0.027,0.002,0.010,0.006,355.468,311.048,0.001,332.355,10⁻³,59.456,0.001,1569.361
InsertDeleteBenchmark,bTreeInsertDelete,32,1000000,201.867,3.611,59.072,27.694,11.585,10⁻³,0.994,0.152,0.963,1.672,43.484,302.217,0.496,35.902,0.017,32.675,0.790,236.974,893.161,345.611,0.443,0.013,0.118,0.117,0.190,0.028,806.266,767.621,0.011,898.302,0.002,347.698,0.006,3789.912
InsertDeleteBenchmark,bTreeInsertDelete,32,5000000,204.672,1.580,31.721,19.272,8.122,10⁻³,0.898,0.032,0.562,0.926,13.254,203.105,0.232,31.968,0.008,16.594,0.445,129.309,919.854,348.426,0.312,0.011,0.099,0.084,0.141,0.016,837.841,777.189,0.008,922.220,0.002,348.781,0.006,3912.470
InsertDeleteBenchmark,bTreeInsertDelete,128,1000,54.679,0.763,13.062,5.721,2.547,10⁻⁴,0.179,0.025,0.205,0.334,10.720,100.831,0.132,13.740,0.005,8.137,0.253,62.476,249.837,63.539,0.069,0.003,0.022,0.005,0.012,0.005,235.391,207.599,0.009,248.462,0.001,63.309,0.001,1093.976
InsertDeleteBenchmark,bTreeInsertDelete,128,50000,81.707,1.143,20.431,8.423,2.809,10⁻⁴,0.279,0.046,0.091,0.483,22.784,121.193,0.094,37.537,0.008,9.351,0.273,113.322,334.372,59.467,0.091,0.002,0.026,0.002,0.008,0.007,356.417,309.198,0.002,334.563,0.001,59.442,0.001,1621.839
InsertDeleteBenchmark,bTreeInsertDelete,128,1000000,97.056,0.511,10.644,7.868,2.659,10⁻⁴,0.252,10⁻⁵,0.162,0.328,6.865,79.506,0.074,5.205,0.003,4.325,0.214,38.929,364.490,61.280,0.130,0.004,0.031,0.003,0.008,0.007,415.177,367.484,0.001,366.586,0.001,61.526,0.001,1887.965
InsertDeleteBenchmark,bTreeInsertDelete,128,5000000,105.175,0.903,9.421,5.054,2.559,10⁻⁴,0.206,NaN,10⁻⁴,0.338,7.011,32.252,NaN,NaN,0.001,NaN,0.073,42.206,412.466,60.366,0.102,0.005,0.029,0.004,0.012,0.004,462.602,398.142,0.002,411.998,0.001,60.398,0.001,2087.633
RangeBenchmark,bPlusTreeRange,4,1000,306.128,3.033,106.322,43.661,13.957,0.001,1.117,0.014,0.703,2.350,60.544,555.805,0.675,91.686,0.021,52.092,1.434,357.757,1792.412,575.263,0.643,0.025,0.213,0.582,0.705,0.093,1431.792,1164.028,0.021,1804.411,0.005,577.215,0.017,7084.437
RangeBenchmark,bPlusTreeRange,4,50000,16813.114,164.313,3956.950,2132.263,909.741,0.049,80.085,0.173,22.554,138.862,2577.535,29274.341,36.381,2148.282,1.017,2012.809,73.474,14680.260,96086.949,18973.982,29.932,1.093,10.252,300.066,371.452,8.411,55271.128,64003.182,7.460,95653.330,11.021,18793.194,0.652,291953.689
RangeBenchmark,bPlusTreeRange,4,1000000,494897.140,7537.499,268572.211,53593.220,19567.941,24.362,2175.469,89.919,588.572,3392.894,182605.166,1046095.412,928.190,149620.034,26.898,53175.429,1598.761,940640.709,1888320.726,365569.114,813.765,386.591,2327.370,5568.888,6289.048,16590.944,1093397.377,1884180.338,236.617,1884157.408,306.749,363679.624,21.901,5742146.179
RangeBenchmark,bPlusTreeRange,4,5000000,4348572.555,594557.943,14987335.786,3271793.801,101997.465,41.457,16869.098,2497.021,14923.100,45365.141,11349890.040,19078335.502,3353.452,13813841.399,167.404,3138482.695,3235.507,58173089.955,27493512.352,5833204.957,15397.748,16840.604,40250.857,52142.058,72261.337,159221.136,16101389.690,36854777.014,7480.973,27591656.199,3511.120,5870948.882,618.654,88267645.190
RangeBenchmark,bPlusTreeRange,32,1000,388.412,7.799,131.229,72.864,21.980,0.001,1.734,0.295,2.771,3.318,87.707,736.820,0.988,122.419,0.032,82.961,1.908,520.624,2640.647,1532.236,0.706,0.026,0.223,0.349,0.448,0.172,1262.137,1477.858,0.023,2647.338,0.007,1535.259,0.013,8292.793
RangeBenchmark,bPlusTreeRange,32,50000,16861.687,476.155,6875.916,2513.313,611.796,0.052,74.761,1.458,66.607,111.361,4505.626,31840.054,46.892,4037.606,1.134,2426.510,82.891,23242.980,84626.446,18037.269,29.228,1.318,10.305,313.169,381.826,89.657,48204.909,64224.723,7.222,84135.031,11.073,17974.427,0.526,261280.123
RangeBenchmark,bPlusTreeRange,32,1000000,339226.537,6912.921,55335.643,26505.011,14211.895,5.466,1408.593,171.784,821.344,1509.243,36160.978,332984.280,448.349,71126.022,21.480,27958.444,516.215,238044.624,1367377.696,345318.080,573.995,257.727,2661.005,5895.981,6405.542,2342.040,944215.691,1290598.762,43.619,1373845.924,304.559,344571.958,15.141,4818142.308
RangeBenchmark,bPlusTreeRange,32,5000000,3169903.764,441104.315,15916432.302,3498868.897,51019.059,99.145,12509.423,4558.403,18444.521,25778.864,11466905.842,18343759.032,2309.675,14473276.856,231.235,3254203.634,2149.458,59029686.037,23504407.759,5623195.786,19614.849,8756.168,18759.466,53090.868,73764.089,38239.007,14598493.218,28652040.727,2583.004,23446255.047,5572.350,5574436.165,623.116,78588527.195
RangeBenchmark,bPlusTreeRange,128,1000,272.025,2.548,100.888,56.238,15.105,0.002,1.268,0.219,1.696,1.915,60.275,466.460,0.688,88.955,0.028,50.909,1.153,314.746,1507.526,547.299,0.449,0.017,0.172,0.951,1.042,0.198,1236.496,1034.097,0.024,1501.293,0.005,544.681,0.015,6115.639
RangeBenchmark,bPlusTreeRange,128,50000,15213.937,87.411,3249.153,1882.819,733.946,0.018,55.639,7.726,24.854,120.223,2309.962,26803.483,35.485,3010.610,1.089,1956.652,66.822,13616.450,67919.233,17870.181,30.224,1.098,10.006,292.120,359.776,45.253,47300.587,57926.886,7.152,68489.754,11.086,17897.879,0.726,237235.593
RangeBenchmark,bPlusTreeRange,128,1000000,324579.730,7204.076,123832.129,39687.475,14933.671,3.025,1344.566,0.479,761.599,2410.568,78353.955,613470.120,435.432,77023.008,25.802,31209.561,1086.049,410576.878,1350365.782,344738.980,691.036,262.303,3330.130,5895.412,6490.059,683.929,937664.691,1241848.386,56.698,1345408.676,308.404,344879.775,14.810,4700683.449
RangeBenchmark,bPlusTreeRange,128,5000000,3178221.071,355916.601,13987771.855,2984711.151,70719.923,115.365,13942.960,3923.453,16514.948,28582.602,10578670.383,18901974.686,2720.719,13421032.359,450.141,2922859.178,3714.018,53997317.490,22263939.870,5304593.982,20864.715,7004.467,18017.198,52724.645,76436.316,25725.482,13624629.973,27820395.544,3019.416,22133657.292,6268.280,5298135.880,511.704,73809564.402
RangeBenchmark,bTreeRange,4,1000,535.575,4.639,154.394,81.989,28.063,0.001,2.504,10⁻⁴,,4.271,98.357,906.210,0.765,31.577,0.025,58.595,2.115,592.219,3944.771,1873.818,0.882,0.031,0.257,0.186,0.272,0.052,1686.085,2031.683,0.033,3911.059,0.006,1870.015,0.012,11219.582
RangeBenchmark,bTreeRange,4,50000,22693.089,425.210,10049.484,3611.147,1075.320,0.032,102.454,4.105,75.570,192.895,7667.843,43448.804,43.217,6840.592,1.518,3476.069,93.353,38700.633,110846.501,26811.457,37.741,1.671,12.485,323.383,385.650,11.020,74771.916,86128.313,8.121,110757.900,11.104,26799.791,0.755,375218.759
RangeBenchmark,bTreeRange,4,1000000,723624.391,12486.797,335028.223,86133.171,22901.082,19.682,2686.099,314.918,1881.809,4251.216,193585.793,1232882.810,891.420,135124.795,41.276,56610.783,1725.458,1019527.304,2791971.731,955182.995,1196.218,562.694,6312.732,5612.555,6287.736,18458.642,1456270.594,2745778.620,620.637,2806488.159,309.305,959008.745,26.205,8323536.906
RangeBenchmark,bTreeRange,4,5000000,6419248.503,314000.285,13678910.650,3208548.401,175688.638,206.106,32266.714,916.122,8639.409,65019.597,9875975.498,19595873.029,5873.278,11643103.162,226.272,2687902.563,9209.697,49077550.160,34872501.758,9815959.642,12866.321,40161.800,69463.912,48695.017,71377.512,198724.392,19378818.878,47888135.589,13167.302,34639693.021,2104.010,9765575.420,386.915,109906694.487
RangeBenchmark,bTreeRange,32,1000,470.886,21.101,146.182,81.860,26.516,0.002,2.159,1.259,3.590,3.854,78.938,774.629,0.675,148.676,0.029,37.172,1.552,457.731,3631.990,1283.826,0.746,0.029,0.230,0.359,0.443,0.363,1441.818,1788.057,0.028,3617.433,0.014,1280.111,0.013,9258.824
RangeBenchmark,bTreeRange,32,50000,21317.925,705.697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RangeBenchmark,bTreeRange,32,1000000,471851.280,1948.827,221037.726,62279.530,19409.367,12.804,1894.721,173.150,2218.035,3359.227,136599.689,1017754.944,758.376,189309.280,39.212,43213.914,1481.358,819987.424,2594264.582,1130237.694,865.285,286.067,3211.265,5566.377,6148.496,2416.205,1253251.683,1796846.712,234.917,2605186.508,409.474,1132706.345,17.722,7400602.967
RangeBenchmark,bTreeRange,32,5000000,3447626.364,333957.716,13525719.762,2791073.517,61775.219,57.940,11080.275,936.723,5862.950,26618.375,10366000.862,18180495.614,4510.172,12238677.488,209.142,2641748.013,4561.787,52883020.019,25270779.362,6333040.048,20498.673,7597.184,17916.387,52922.760,75307.869,30939.348,15023328.927,27526296.765,2621.271,25445878.352,5791.801,6326965.680,538.306,80499264.684
RangeBenchmark,bTreeRange,128,1000,586.041,6.041,111.962,53.699,27.216,0.001,2.484,0.342,3.129,4.298,76.170,732.459,1.035,78.661,0.038,54.997,1.922,516.311,4810.835,1354.213,0.938,0.035,0.259,0.397,0.485,0.489,2059.076,2221.574,0.025,4809.445,0.007,1353.367,0.016,11524.763
RangeBenchmark,bTreeRange,128,50000,28676.257,538.692,9922.119,4841.852,1086.670,0.127,83.495,8.903,17.992,224.639,6329.410,53605.228,60.770,6673.311,1.972,5344.128,123.263,39701.945,160955.293,95838.683,41.774,1.614,13.008,303.765,369.101,54.782,62587.316,108760.729,8.188,160249.288,11.124,95637.830,0.665,469593.882
RangeBenchmark,bTreeRange,128,1000000,366209.786,5053.325,195782.671,51854.547,15334.499,10.374,1562.610,260.917,761.670,2386.908,128506.374,794956.203,679.235,196054.581,39.599,53947.143,1140.166,767380.061,1960252.606,458484.214,655.925,246.598,3345.665,5582.622,6252.276,696.309,1148276.130,1398682.070,74.759,1942773.533,310.179,455604.814,18.393,6040600.227
RangeBenchmark,bTreeRange,128,5000000,3181117.714,488258.578,14373949.572,2919614.916,69600.928,35.890,13432.590,996.726,7390.785,18186.562,10928506.883,17169041.122,2830.936,14163029.262,151.063,2806293.570,3097.222,55638726.081,24483049.425,5326854.736,18376.206,6239.713,16209.816,53647.321,75447.258,17590.355,14559097.100,26754669.269,2294.523,24517488.725,5374.817,5330475.750,498.359,78293464.291
