"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:cpu_core/LLC-loads/","sample",1,1,0.013864,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:cpu_core/LLC-store-misses/","sample",1,1,0.000374,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:cpu_core/LLC-stores/","sample",1,1,0.004091,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:cpu_core/branch-misses/","sample",1,1,0.019330,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:cpu_core/branches/","sample",1,1,154.673137,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:cpu_core/cycles/","sample",1,1,125.556703,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:cpu_core/dTLB-load-misses/","sample",1,1,0.000488,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:cpu_core/dTLB-loads/","sample",1,1,224.077368,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:cpu_core/dTLB-store-misses/","sample",1,1,0.000963,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:cpu_core/dTLB-stores/","sample",1,1,41.776854,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:cpu_core/iTLB-load-misses/","sample",1,1,0.000299,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:cpu_core/instructions/","sample",1,1,667.920657,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:gc.alloc.rate","sample",1,5,1637.143669,38.823313,"MB/sec",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:gc.alloc.rate.norm","sample",1,5,56.003164,0.000903,"B/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:gc.count","sample",1,5,7.000000,NaN,"counts",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:gc.time","sample",1,5,13.000000,NaN,"ms",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:p0.00","sample",1,1,45.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:p0.50","sample",1,1,52.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:p0.90","sample",1,1,54.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:p0.95","sample",1,1,55.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:p0.99","sample",1,1,66.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:p0.999","sample",1,1,311.050000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:p0.9999","sample",1,1,12320.160000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:p1.00","sample",1,1,115328.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:perf","sample",1,1,NaN,NaN,"---",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.javaTreeSetInsertDelete","sample",1,240191,73.741031,1.697328,"ns/op",10000
