"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:p0.95","sample",1,1,207.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:p0.99","sample",1,1,415.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:p0.999","sample",1,1,7061.408000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:p0.9999","sample",1,1,16762.860800,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:p1.00","sample",1,1,123904.000000,NaN,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.avlInsertDelete:perf","sample",1,1,NaN,NaN,"---",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete","sample",1,296768,58.717705,1.488152,"ns/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:024      cpu_core/LLC-loads/              #     30.9 %  llc_miss_rate            (7.29%)","sample",1,1,NaN,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:129      cpu_atom/LLC-loads/              #      0.6 %  llc_miss_rate            (0.66%)","sample",1,1,NaN,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:729      cpu_core/branch-misses/          #      0.0 %  branch_miss_rate         (10.90%)","sample",1,1,NaN,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:958      cpu_atom/branches/               #    780.3 M/sec  branch_frequency     (0.23%)","sample",1,1,NaN,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:cpu_core/L1-dcache-loads/","sample",1,1,196.195922,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:cpu_core/L1-dcache-stores/","sample",1,1,36.896183,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:cpu_core/L1-icache-load-misses/","sample",1,1,0.033146,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:cpu_core/LLC-load-misses/","sample",1,1,0.000887,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:cpu_core/LLC-loads/","sample",1,1,0.014353,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:cpu_core/LLC-store-misses/","sample",1,1,0.000856,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:cpu_core/LLC-stores/","sample",1,1,0.003071,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:cpu_core/branch-misses/","sample",1,1,0.019845,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:cpu_core/branches/","sample",1,1,154.346331,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:cpu_core/cycles/","sample",1,1,126.606989,NaN,"#/op",10000
"chaos.tree.benchmark.binary.InsertDeleteBenchmark.bstInsertDelete:cpu_core/dTLB-load-misses/","sample",1,1,0.000411,NaN,"#/op",10000
